locationName,fullAddress,overallRating,latitude,longitude
Berkshire,"6109 Berkshire Ln Ste A, Dallas, TX 75225",3.1,32.8650085,-96.8060218
Fountains at Farrah,"8889 Gateway Blvd W Suite 1400 Ste 1400, El Paso, TX 79925",4.5,31.77025,-106.371365
Gates of Prosper,"1140 S Preston Rd #10, Prosper, TX 75078",3.5,33.2237329,-96.7995171
Atlanta Airport Kiosk - Terminal C Gate 7,"6000 N Terminal Pkwy, Atlanta, GA 30320",3.4,33.641343,-84.432607
Atlanta Airport Kiosk Terminal C Gate 40,"6000 N Terminal Pkwy, Atlanta, GA 30320",3.4,33.6407764,-84.4443259
Park District - Petite Market & Bakery,"2100 Olive St Suite 150 Ste 150, Dallas, TX 75201",3.7,32.791379,-96.802290
Phoenix Sky Harbor International Airport,"4140-4204 Sky Hbr Blvd, Phoenix, AZ 85034",3.8,33.4354519,-111.997967
Sawyer Heights,"2423 Katy Fwy Suite E, Houston, TX 77007",4.1,29.7763158,-95.3824319
San Jacinto,"2121 San Jacinto St #120, Dallas, TX 75201",4.1,32.7875067,-96.7975695
Mandeville,"3434 U.S. Hwy 190, Mandeville, LA 70471",4.1,30.4729721,-90.08642139999999
Lake Jackson,"401-A This Way, Lake Jackson, TX 77566",4.3,29.0393388,-95.4563921
Montfort ,"15125 Montfort Dr, Dallas, TX 75254",3.7,32.955654,-96.818996
La Villita,"6801 N Mesa St, El Paso, TX 79912",4.2,31.8342528,-106.5463302
Dallas Love Field,"8005 Cedar Springs Rd, Dallas, TX 75235",4.0,32.82966,-96.8511
Tyler,"419 W SW Loop 323, Tyler, TX 75701",4.1,32.3037245,-95.3058981
Tierra Del Este,"3440 Joe Battle Blvd Suite 102 Ste 102, El Paso, TX 79938",4.5,31.793652,-106.267631
Spring ,"6805 N Grand Pkwy Suite 805, Spring, TX 77389",4.2,30.088557,-95.520159
Tysons Corner,"5861 Crossroads Center Way, Bailey's Crossroads, VA 22041",4.1,38.9177638,-77.2214601
Houston Galleria,"5015 Westheimer Rd Suite 1420, Houston, TX 77056",4.0,29.7389671,-95.4631205
Northpark,"628 NorthPark Ctr, Dallas, TX 75225",4.3,32.8685382,-96.7735105
Severn,"3300 Severn Ave Suite 201 Ste 201, Metairie, LA 70002",4.0,30.0095891,-90.15962999999999
East Cobb,"4101 Roswell Rd Suite 812 Ste 812, Marietta, GA 30062",3.8,33.981535,-84.432865
Perimeter,"1165 Perimeter Center W Ste 330, Atlanta, GA 30346",4.1,33.929446,-84.347979
Grapevine,"900 TX-114, Grapevine, TX 76051",4.0,32.9253627,-97.0867135
Carrollton,"601 S Carrollton Ave, New Orleans, LA 70118",4.1,29.9430657,-90.1336857
Champions,"5505-A FM 1960, Houston, TX 77069",4.3,29.9793086,-95.5122889
Jefferson,"7615 Jefferson Hwy, Baton Rouge, LA 70809",4.0,30.430584,-91.10863930000001
Perkins Rowe,"7707 Bluebonnet Blvd Suite 190 Ste 190, Baton Rouge, LA 70810",4.0,30.3796417,-91.09615370000002
Waco,"2816 Marketplace Dr Suite 101 Ste 101, Waco, TX 76711",4.3,31.497103,-97.151468
Meyerland,"4700 Beechnut St Suite 620, Houston, TX 77096",4.3,29.6887822,-95.4601048
Kingwood,"4570 Kingwood Dr, Kingwood Area, TX 77345",4.2,30.0501376,-95.1822519
Elmwood,"1200 S Clearview Pkwy Suite 1314, Harahan, LA 70123",4.1,29.962319,-90.187792
Luhrs City Center,"2156 E Williams Field Rd Suite 101 Ste 101, Gilbert, AZ 85296",4.3,33.4469011,-112.0748081
Tanglewood,"5885 San Felipe St #100, Houston, TX 77057",4.3,29.74956599999999,-95.484382
Midway,"4343 W Northwest Hwy Suite 365 Ste 365, Dallas, TX 75220",4.2,32.8647917,-96.8358536
MacArthur,"6430 N MacArthur Blvd, Irving, TX 75039",4.2,32.8964907,-96.9581147
Downtown Crown,"242 Crown Park Ave, Gaithersburg, MD 20878",4.1,39.1142231,-77.2046641
Flower Mound,"2500 Cross Timbers Rd Suite 150 Ste 150, Flower Mound, TX 75028",4.0,33.0360001,-97.0672809
Millenia Mall,"4175 Millenia Blvd, Orlando, FL 32839",4.4,28.489575,-81.431158
North Arlington,"2101 N Collins St, Arlington, TX 76011",4.3,32.7675182,-97.0967026
Gwinnett,"2255 Pleasant Hill Rd Suite 480 Ste 480, Duluth, GA 30096",4.1,33.961925,-84.138955
Norman,"1954 24th Ave NW, Norman, OK 73069",4.3,35.24203850000001,-97.4830229
The Met,"3615 W Chandler Blvd Suite 7 Ste 7, Chandler, AZ 85226",4.3,33.3055015,-111.9044728
Mueller,"1201 Barbara Jordan Blvd Bldg 11, Ste 100, Austin, TX 78723",4.2,30.30634989999999,-97.70914520000001
Rockwall,"987 E Interstate 30, Rockwall, TX 75087",4.1,32.903585,-96.453824
Preston Forest,"11930 Preston Rd Ste 100, Dallas, TX 75230",4.1,32.9114309,-96.8029071
Frisco,"8008 State Hwy 121 Suite 100, Frisco, TX 75034",4.1,33.094091,-96.81577899999999
Clearlake,"929 W Bay Area Blvd, Webster, TX 77598",4.4,29.5419853,-95.1372832
Plano,"5000 W Park Blvd #100, Plano, TX 75093",4.2,33.0269127,-96.7962278
Bailey's Crossroads,"5861 Crossroads Center Way, Bailey's Crossroads, VA 22041",4.1,38.852218,-77.13014199999999
Crossroads,"19710 Northwest Freeway, US-290 Suite 100 Ste 100, Houston, TX 77065",4.3,29.9155169,-95.6139985
Columbia,"6211 Columbia Crossing Cir, Columbia, MD 21045",4.2,39.1968249,-76.815916
Allen,"810 W McDermott Dr, Allen, TX 75013",4.1,33.10242,-96.6814801
Alexandria,"500 King St, Alexandria, VA 22314",3.9,38.8046307,-77.04495159999999
Huebner Oaks,"11745 I-10 Suite 101, San Antonio, TX 78230",4.3,29.5481138,-98.5826213
Alamo Heights,"4820 Broadway, San Antonio, TX 78209",4.4,29.4617383,-98.4673103
Northwoods,"18030 US-281 Suite 201 Ste 201, San Antonio, TX 78232",4.3,29.6045701,-98.46898170000001
The Forum,"8134 Agora Pkwy Suite 100 Ste 100, Schertz, TX 78154",4.3,29.565123,-98.328689
Bethesda,"7607 Old Georgetown Rd, Bethesda, MD 20814",4.3,38.98596209999999,-77.09575459999999
